Product (CSV Name),Website Product Name,Length,Size,Taper,Pack Type,Pack Quantity,Sub Category (Type),Product Type,Original Brand,Parent Company,Full Description,Key Features,Specs / Sizes,Certification,Source URL,Primary Image URL
K File,Stainless Steel K Files,21mm,15,,,Pack of 6 files,Preparation Files,Stainless Steel Hand File,UDG,Bondent,UDG K File is a stainless steel hand instrument featuring a radiopaque silicon stopper and X-ray visible calibration rings. The inactive pilot tip guides the instrument safely along the canal to working length. Available in sizes #6 to #80.,Radiopaque silicon stopper; X-ray visible calibration rings; Inactive pilot tip; Stainless steel construction,"Sizes: #6, #8, #10, #15, #20, #25, #30, #35, #40 (individual) | Assorted #15-40, Assorted #45-80 | Lengths: 21mm, 25mm | Pack of 6 files","Medical Class I, EC Declaration of Conformity",https://bondent.eu/dentistry-solutions/stainless-steel-k-files/,https://bondent.eu/wp-content/uploads/2022/02/网站图片-78.jpg
K File,Stainless Steel K Files,21mm,20,,,Pack of 6 files,Preparation Files,Stainless Steel Hand File,UDG,Bondent,UDG K File is a stainless steel hand instrument featuring a radiopaque silicon stopper and X-ray visible calibration rings. The inactive pilot tip guides the instrument safely along the canal to working length. Available in sizes #6 to #80.,Radiopaque silicon stopper; X-ray visible calibration rings; Inactive pilot tip; Stainless steel construction,"Sizes: #6, #8, #10, #15, #20, #25, #30, #35, #40 (individual) | Assorted #15-40, Assorted #45-80 | Lengths: 21mm, 25mm | Pack of 6 files","Medical Class I, EC Declaration of Conformity",https://bondent.eu/dentistry-solutions/stainless-steel-k-files/,https://bondent.eu/wp-content/uploads/2022/02/网站图片-78.jpg
K File,Stainless Steel K Files,21mm,25,,,Pack of 6 files,Preparation Files,Stainless Steel Hand File,UDG,Bondent,UDG K File is a stainless steel hand instrument featuring a radiopaque silicon stopper and X-ray visible calibration rings. The inactive pilot tip guides the instrument safely along the canal to working length. Available in sizes #6 to #80.,Radiopaque silicon stopper; X-ray visible calibration rings; Inactive pilot tip; Stainless steel construction,"Sizes: #6, #8, #10, #15, #20, #25, #30, #35, #40 (individual) | Assorted #15-40, Assorted #45-80 | Lengths: 21mm, 25mm | Pack of 6 files","Medical Class I, EC Declaration of Conformity",https://bondent.eu/dentistry-solutions/stainless-steel-k-files/,https://bondent.eu/wp-content/uploads/2022/02/网站图片-78.jpg
K File,Stainless Steel K Files,21mm,30,,,Pack of 6 files,Preparation Files,Stainless Steel Hand File,UDG,Bondent,UDG K File is a stainless steel hand instrument featuring a radiopaque silicon stopper and X-ray visible calibration rings. The inactive pilot tip guides the instrument safely along the canal to working length. Available in sizes #6 to #80.,Radiopaque silicon stopper; X-ray visible calibration rings; Inactive pilot tip; Stainless steel construction,"Sizes: #6, #8, #10, #15, #20, #25, #30, #35, #40 (individual) | Assorted #15-40, Assorted #45-80 | Lengths: 21mm, 25mm | Pack of 6 files","Medical Class I, EC Declaration of Conformity",https://bondent.eu/dentistry-solutions/stainless-steel-k-files/,https://bondent.eu/wp-content/uploads/2022/02/网站图片-78.jpg
K File,Stainless Steel K Files,21mm,35,,,Pack of 6 files,Preparation Files,Stainless Steel Hand File,UDG,Bondent,UDG K File is a stainless steel hand instrument featuring a radiopaque silicon stopper and X-ray visible calibration rings. The inactive pilot tip guides the instrument safely along the canal to working length. Available in sizes #6 to #80.,Radiopaque silicon stopper; X-ray visible calibration rings; Inactive pilot tip; Stainless steel construction,"Sizes: #6, #8, #10, #15, #20, #25, #30, #35, #40 (individual) | Assorted #15-40, Assorted #45-80 | Lengths: 21mm, 25mm | Pack of 6 files","Medical Class I, EC Declaration of Conformity",https://bondent.eu/dentistry-solutions/stainless-steel-k-files/,https://bondent.eu/wp-content/uploads/2022/02/网站图片-78.jpg
K File,Stainless Steel K Files,21mm,40,,,Pack of 6 files,Preparation Files,Stainless Steel Hand File,UDG,Bondent,UDG K File is a stainless steel hand instrument featuring a radiopaque silicon stopper and X-ray visible calibration rings. The inactive pilot tip guides the instrument safely along the canal to working length. Available in sizes #6 to #80.,Radiopaque silicon stopper; X-ray visible calibration rings; Inactive pilot tip; Stainless steel construction,"Sizes: #6, #8, #10, #15, #20, #25, #30, #35, #40 (individual) | Assorted #15-40, Assorted #45-80 | Lengths: 21mm, 25mm | Pack of 6 files","Medical Class I, EC Declaration of Conformity",https://bondent.eu/dentistry-solutions/stainless-steel-k-files/,https://bondent.eu/wp-content/uploads/2022/02/网站图片-78.jpg
K File,Stainless Steel K Files,21mm,15-40,,Assorted,Pack of 6 files,Preparation Files,Stainless Steel Hand File,UDG,Bondent,UDG K File is a stainless steel hand instrument featuring a radiopaque silicon stopper and X-ray visible calibration rings. The inactive pilot tip guides the instrument safely along the canal to working length. Available in sizes #6 to #80.,Radiopaque silicon stopper; X-ray visible calibration rings; Inactive pilot tip; Stainless steel construction,"Sizes: #6, #8, #10, #15, #20, #25, #30, #35, #40 (individual) | Assorted #15-40, Assorted #45-80 | Lengths: 21mm, 25mm | Pack of 6 files","Medical Class I, EC Declaration of Conformity",https://bondent.eu/dentistry-solutions/stainless-steel-k-files/,https://bondent.eu/wp-content/uploads/2022/02/网站图片-78.jpg
K File,Stainless Steel K Files,21mm,45-80,,Assorted,Pack of 6 files,Preparation Files,Stainless Steel Hand File,UDG,Bondent,UDG K File is a stainless steel hand instrument featuring a radiopaque silicon stopper and X-ray visible calibration rings. The inactive pilot tip guides the instrument safely along the canal to working length. Available in sizes #6 to #80.,Radiopaque silicon stopper; X-ray visible calibration rings; Inactive pilot tip; Stainless steel construction,"Sizes: #6, #8, #10, #15, #20, #25, #30, #35, #40 (individual) | Assorted #15-40, Assorted #45-80 | Lengths: 21mm, 25mm | Pack of 6 files","Medical Class I, EC Declaration of Conformity",https://bondent.eu/dentistry-solutions/stainless-steel-k-files/,https://bondent.eu/wp-content/uploads/2022/02/网站图片-78.jpg
K File,Stainless Steel K Files,25mm,6,,,Pack of 6 files,Preparation Files,Stainless Steel Hand File,UDG,Bondent,UDG K File is a stainless steel hand instrument featuring a radiopaque silicon stopper and X-ray visible calibration rings. The inactive pilot tip guides the instrument safely along the canal to working length. Available in sizes #6 to #80.,Radiopaque silicon stopper; X-ray visible calibration rings; Inactive pilot tip; Stainless steel construction,"Sizes: #6, #8, #10, #15, #20, #25, #30, #35, #40 (individual) | Assorted #15-40, Assorted #45-80 | Lengths: 21mm, 25mm | Pack of 6 files","Medical Class I, EC Declaration of Conformity",https://bondent.eu/dentistry-solutions/stainless-steel-k-files/,https://bondent.eu/wp-content/uploads/2022/02/网站图片-78.jpg
K File,Stainless Steel K Files,25mm,8,,,Pack of 6 files,Preparation Files,Stainless Steel Hand File,UDG,Bondent,UDG K File is a stainless steel hand instrument featuring a radiopaque silicon stopper and X-ray visible calibration rings. The inactive pilot tip guides the instrument safely along the canal to working length. Available in sizes #6 to #80.,Radiopaque silicon stopper; X-ray visible calibration rings; Inactive pilot tip; Stainless steel construction,"Sizes: #6, #8, #10, #15, #20, #25, #30, #35, #40 (individual) | Assorted #15-40, Assorted #45-80 | Lengths: 21mm, 25mm | Pack of 6 files","Medical Class I, EC Declaration of Conformity",https://bondent.eu/dentistry-solutions/stainless-steel-k-files/,https://bondent.eu/wp-content/uploads/2022/02/网站图片-78.jpg
K File,Stainless Steel K Files,25mm,10,,,Pack of 6 files,Preparation Files,Stainless Steel Hand File,UDG,Bondent,UDG K File is a stainless steel hand instrument featuring a radiopaque silicon stopper and X-ray visible calibration rings. The inactive pilot tip guides the instrument safely along the canal to working length. Available in sizes #6 to #80.,Radiopaque silicon stopper; X-ray visible calibration rings; Inactive pilot tip; Stainless steel construction,"Sizes: #6, #8, #10, #15, #20, #25, #30, #35, #40 (individual) | Assorted #15-40, Assorted #45-80 | Lengths: 21mm, 25mm | Pack of 6 files","Medical Class I, EC Declaration of Conformity",https://bondent.eu/dentistry-solutions/stainless-steel-k-files/,https://bondent.eu/wp-content/uploads/2022/02/网站图片-78.jpg
K File,Stainless Steel K Files,25mm,15,,,Pack of 6 files,Preparation Files,Stainless Steel Hand File,UDG,Bondent,UDG K File is a stainless steel hand instrument featuring a radiopaque silicon stopper and X-ray visible calibration rings. The inactive pilot tip guides the instrument safely along the canal to working length. Available in sizes #6 to #80.,Radiopaque silicon stopper; X-ray visible calibration rings; Inactive pilot tip; Stainless steel construction,"Sizes: #6, #8, #10, #15, #20, #25, #30, #35, #40 (individual) | Assorted #15-40, Assorted #45-80 | Lengths: 21mm, 25mm | Pack of 6 files","Medical Class I, EC Declaration of Conformity",https://bondent.eu/dentistry-solutions/stainless-steel-k-files/,https://bondent.eu/wp-content/uploads/2022/02/网站图片-78.jpg
K File,Stainless Steel K Files,25mm,20,,,Pack of 6 files,Preparation Files,Stainless Steel Hand File,UDG,Bondent,UDG K File is a stainless steel hand instrument featuring a radiopaque silicon stopper and X-ray visible calibration rings. The inactive pilot tip guides the instrument safely along the canal to working length. Available in sizes #6 to #80.,Radiopaque silicon stopper; X-ray visible calibration rings; Inactive pilot tip; Stainless steel construction,"Sizes: #6, #8, #10, #15, #20, #25, #30, #35, #40 (individual) | Assorted #15-40, Assorted #45-80 | Lengths: 21mm, 25mm | Pack of 6 files","Medical Class I, EC Declaration of Conformity",https://bondent.eu/dentistry-solutions/stainless-steel-k-files/,https://bondent.eu/wp-content/uploads/2022/02/网站图片-78.jpg
K File,Stainless Steel K Files,25mm,25,,,Pack of 6 files,Preparation Files,Stainless Steel Hand File,UDG,Bondent,UDG K File is a stainless steel hand instrument featuring a radiopaque silicon stopper and X-ray visible calibration rings. The inactive pilot tip guides the instrument safely along the canal to working length. Available in sizes #6 to #80.,Radiopaque silicon stopper; X-ray visible calibration rings; Inactive pilot tip; Stainless steel construction,"Sizes: #6, #8, #10, #15, #20, #25, #30, #35, #40 (individual) | Assorted #15-40, Assorted #45-80 | Lengths: 21mm, 25mm | Pack of 6 files","Medical Class I, EC Declaration of Conformity",https://bondent.eu/dentistry-solutions/stainless-steel-k-files/,https://bondent.eu/wp-content/uploads/2022/02/网站图片-78.jpg
K File,Stainless Steel K Files,25mm,30,,,Pack of 6 files,Preparation Files,Stainless Steel Hand File,UDG,Bondent,UDG K File is a stainless steel hand instrument featuring a radiopaque silicon stopper and X-ray visible calibration rings. The inactive pilot tip guides the instrument safely along the canal to working length. Available in sizes #6 to #80.,Radiopaque silicon stopper; X-ray visible calibration rings; Inactive pilot tip; Stainless steel construction,"Sizes: #6, #8, #10, #15, #20, #25, #30, #35, #40 (individual) | Assorted #15-40, Assorted #45-80 | Lengths: 21mm, 25mm | Pack of 6 files","Medical Class I, EC Declaration of Conformity",https://bondent.eu/dentistry-solutions/stainless-steel-k-files/,https://bondent.eu/wp-content/uploads/2022/02/网站图片-78.jpg
K File,Stainless Steel K Files,25mm,35,,,Pack of 6 files,Preparation Files,Stainless Steel Hand File,UDG,Bondent,UDG K File is a stainless steel hand instrument featuring a radiopaque silicon stopper and X-ray visible calibration rings. The inactive pilot tip guides the instrument safely along the canal to working length. Available in sizes #6 to #80.,Radiopaque silicon stopper; X-ray visible calibration rings; Inactive pilot tip; Stainless steel construction,"Sizes: #6, #8, #10, #15, #20, #25, #30, #35, #40 (individual) | Assorted #15-40, Assorted #45-80 | Lengths: 21mm, 25mm | Pack of 6 files","Medical Class I, EC Declaration of Conformity",https://bondent.eu/dentistry-solutions/stainless-steel-k-files/,https://bondent.eu/wp-content/uploads/2022/02/网站图片-78.jpg
K File,Stainless Steel K Files,25mm,40,,,Pack of 6 files,Preparation Files,Stainless Steel Hand File,UDG,Bondent,UDG K File is a stainless steel hand instrument featuring a radiopaque silicon stopper and X-ray visible calibration rings. The inactive pilot tip guides the instrument safely along the canal to working length. Available in sizes #6 to #80.,Radiopaque silicon stopper; X-ray visible calibration rings; Inactive pilot tip; Stainless steel construction,"Sizes: #6, #8, #10, #15, #20, #25, #30, #35, #40 (individual) | Assorted #15-40, Assorted #45-80 | Lengths: 21mm, 25mm | Pack of 6 files","Medical Class I, EC Declaration of Conformity",https://bondent.eu/dentistry-solutions/stainless-steel-k-files/,https://bondent.eu/wp-content/uploads/2022/02/网站图片-78.jpg
K File,Stainless Steel K Files,25mm,15-40,,Assorted,Pack of 6 files,Preparation Files,Stainless Steel Hand File,UDG,Bondent,UDG K File is a stainless steel hand instrument featuring a radiopaque silicon stopper and X-ray visible calibration rings. The inactive pilot tip guides the instrument safely along the canal to working length. Available in sizes #6 to #80.,Radiopaque silicon stopper; X-ray visible calibration rings; Inactive pilot tip; Stainless steel construction,"Sizes: #6, #8, #10, #15, #20, #25, #30, #35, #40 (individual) | Assorted #15-40, Assorted #45-80 | Lengths: 21mm, 25mm | Pack of 6 files","Medical Class I, EC Declaration of Conformity",https://bondent.eu/dentistry-solutions/stainless-steel-k-files/,https://bondent.eu/wp-content/uploads/2022/02/网站图片-78.jpg
K File,Stainless Steel K Files,25mm,45-80,,Assorted,Pack of 6 files,Preparation Files,Stainless Steel Hand File,UDG,Bondent,UDG K File is a stainless steel hand instrument featuring a radiopaque silicon stopper and X-ray visible calibration rings. The inactive pilot tip guides the instrument safely along the canal to working length. Available in sizes #6 to #80.,Radiopaque silicon stopper; X-ray visible calibration rings; Inactive pilot tip; Stainless steel construction,"Sizes: #6, #8, #10, #15, #20, #25, #30, #35, #40 (individual) | Assorted #15-40, Assorted #45-80 | Lengths: 21mm, 25mm | Pack of 6 files","Medical Class I, EC Declaration of Conformity",https://bondent.eu/dentistry-solutions/stainless-steel-k-files/,https://bondent.eu/wp-content/uploads/2022/02/网站图片-78.jpg
C File,Stainless Steel C Files,21mm,6,,,Pack of 6 files,Preparation Files,Stainless Steel Hand File – Glide Path,UDG,Bondent,"UDG C Files are specially designed to create the manual glide path and check canal patency during rotary and reciprocating endodontic treatment. Inactive pilot tip, radiopaque silicon stopper, and X-ray visible calibration rings.",Manual glide path creation; Canal patency check; Inactive pilot tip; Radiopaque silicon stopper; X-ray calibration rings,"ISO Sizes: #06, #08, #10, #12.5, #15 (individual) | Assorted pack | Lengths: 21mm, 25mm | Pack of 6 files","Medical Class I, EC Declaration of Conformity",https://bondent.eu/dentistry-solutions/stainless-steel-c-files/,https://bondent.eu/wp-content/uploads/2022/02/网站图片-74.jpg
C File,Stainless Steel C Files,21mm,8,,,Pack of 6 files,Preparation Files,Stainless Steel Hand File – Glide Path,UDG,Bondent,"UDG C Files are specially designed to create the manual glide path and check canal patency during rotary and reciprocating endodontic treatment. Inactive pilot tip, radiopaque silicon stopper, and X-ray visible calibration rings.",Manual glide path creation; Canal patency check; Inactive pilot tip; Radiopaque silicon stopper; X-ray calibration rings,"ISO Sizes: #06, #08, #10, #12.5, #15 (individual) | Assorted pack | Lengths: 21mm, 25mm | Pack of 6 files","Medical Class I, EC Declaration of Conformity",https://bondent.eu/dentistry-solutions/stainless-steel-c-files/,https://bondent.eu/wp-content/uploads/2022/02/网站图片-74.jpg
C File,Stainless Steel C Files,21mm,10,,,Pack of 6 files,Preparation Files,Stainless Steel Hand File – Glide Path,UDG,Bondent,"UDG C Files are specially designed to create the manual glide path and check canal patency during rotary and reciprocating endodontic treatment. Inactive pilot tip, radiopaque silicon stopper, and X-ray visible calibration rings.",Manual glide path creation; Canal patency check; Inactive pilot tip; Radiopaque silicon stopper; X-ray calibration rings,"ISO Sizes: #06, #08, #10, #12.5, #15 (individual) | Assorted pack | Lengths: 21mm, 25mm | Pack of 6 files","Medical Class I, EC Declaration of Conformity",https://bondent.eu/dentistry-solutions/stainless-steel-c-files/,https://bondent.eu/wp-content/uploads/2022/02/网站图片-74.jpg
C File,Stainless Steel C Files,21mm,12.5,,,Pack of 6 files,Preparation Files,Stainless Steel Hand File – Glide Path,UDG,Bondent,"UDG C Files are specially designed to create the manual glide path and check canal patency during rotary and reciprocating endodontic treatment. Inactive pilot tip, radiopaque silicon stopper, and X-ray visible calibration rings.",Manual glide path creation; Canal patency check; Inactive pilot tip; Radiopaque silicon stopper; X-ray calibration rings,"ISO Sizes: #06, #08, #10, #12.5, #15 (individual) | Assorted pack | Lengths: 21mm, 25mm | Pack of 6 files","Medical Class I, EC Declaration of Conformity",https://bondent.eu/dentistry-solutions/stainless-steel-c-files/,https://bondent.eu/wp-content/uploads/2022/02/网站图片-74.jpg
C File,Stainless Steel C Files,21mm,15,,,Pack of 6 files,Preparation Files,Stainless Steel Hand File – Glide Path,UDG,Bondent,"UDG C Files are specially designed to create the manual glide path and check canal patency during rotary and reciprocating endodontic treatment. Inactive pilot tip, radiopaque silicon stopper, and X-ray visible calibration rings.",Manual glide path creation; Canal patency check; Inactive pilot tip; Radiopaque silicon stopper; X-ray calibration rings,"ISO Sizes: #06, #08, #10, #12.5, #15 (individual) | Assorted pack | Lengths: 21mm, 25mm | Pack of 6 files","Medical Class I, EC Declaration of Conformity",https://bondent.eu/dentistry-solutions/stainless-steel-c-files/,https://bondent.eu/wp-content/uploads/2022/02/网站图片-74.jpg
C File,Stainless Steel C Files,21mm,,,Assorted,Pack of 6 files,Preparation Files,Stainless Steel Hand File – Glide Path,UDG,Bondent,"UDG C Files are specially designed to create the manual glide path and check canal patency during rotary and reciprocating endodontic treatment. Inactive pilot tip, radiopaque silicon stopper, and X-ray visible calibration rings.",Manual glide path creation; Canal patency check; Inactive pilot tip; Radiopaque silicon stopper; X-ray calibration rings,"ISO Sizes: #06, #08, #10, #12.5, #15 (individual) | Assorted pack | Lengths: 21mm, 25mm | Pack of 6 files","Medical Class I, EC Declaration of Conformity",https://bondent.eu/dentistry-solutions/stainless-steel-c-files/,https://bondent.eu/wp-content/uploads/2022/02/网站图片-74.jpg
C File,Stainless Steel C Files,25mm,6,,,Pack of 6 files,Preparation Files,Stainless Steel Hand File – Glide Path,UDG,Bondent,"UDG C Files are specially designed to create the manual glide path and check canal patency during rotary and reciprocating endodontic treatment. Inactive pilot tip, radiopaque silicon stopper, and X-ray visible calibration rings.",Manual glide path creation; Canal patency check; Inactive pilot tip; Radiopaque silicon stopper; X-ray calibration rings,"ISO Sizes: #06, #08, #10, #12.5, #15 (individual) | Assorted pack | Lengths: 21mm, 25mm | Pack of 6 files","Medical Class I, EC Declaration of Conformity",https://bondent.eu/dentistry-solutions/stainless-steel-c-files/,https://bondent.eu/wp-content/uploads/2022/02/网站图片-74.jpg
C File,Stainless Steel C Files,25mm,8,,,Pack of 6 files,Preparation Files,Stainless Steel Hand File – Glide Path,UDG,Bondent,"UDG C Files are specially designed to create the manual glide path and check canal patency during rotary and reciprocating endodontic treatment. Inactive pilot tip, radiopaque silicon stopper, and X-ray visible calibration rings.",Manual glide path creation; Canal patency check; Inactive pilot tip; Radiopaque silicon stopper; X-ray calibration rings,"ISO Sizes: #06, #08, #10, #12.5, #15 (individual) | Assorted pack | Lengths: 21mm, 25mm | Pack of 6 files","Medical Class I, EC Declaration of Conformity",https://bondent.eu/dentistry-solutions/stainless-steel-c-files/,https://bondent.eu/wp-content/uploads/2022/02/网站图片-74.jpg
C File,Stainless Steel C Files,25mm,10,,,Pack of 6 files,Preparation Files,Stainless Steel Hand File – Glide Path,UDG,Bondent,"UDG C Files are specially designed to create the manual glide path and check canal patency during rotary and reciprocating endodontic treatment. Inactive pilot tip, radiopaque silicon stopper, and X-ray visible calibration rings.",Manual glide path creation; Canal patency check; Inactive pilot tip; Radiopaque silicon stopper; X-ray calibration rings,"ISO Sizes: #06, #08, #10, #12.5, #15 (individual) | Assorted pack | Lengths: 21mm, 25mm | Pack of 6 files","Medical Class I, EC Declaration of Conformity",https://bondent.eu/dentistry-solutions/stainless-steel-c-files/,https://bondent.eu/wp-content/uploads/2022/02/网站图片-74.jpg
C File,Stainless Steel C Files,25mm,12.5,,,Pack of 6 files,Preparation Files,Stainless Steel Hand File – Glide Path,UDG,Bondent,"UDG C Files are specially designed to create the manual glide path and check canal patency during rotary and reciprocating endodontic treatment. Inactive pilot tip, radiopaque silicon stopper, and X-ray visible calibration rings.",Manual glide path creation; Canal patency check; Inactive pilot tip; Radiopaque silicon stopper; X-ray calibration rings,"ISO Sizes: #06, #08, #10, #12.5, #15 (individual) | Assorted pack | Lengths: 21mm, 25mm | Pack of 6 files","Medical Class I, EC Declaration of Conformity",https://bondent.eu/dentistry-solutions/stainless-steel-c-files/,https://bondent.eu/wp-content/uploads/2022/02/网站图片-74.jpg
C File,Stainless Steel C Files,25mm,15,,,Pack of 6 files,Preparation Files,Stainless Steel Hand File – Glide Path,UDG,Bondent,"UDG C Files are specially designed to create the manual glide path and check canal patency during rotary and reciprocating endodontic treatment. Inactive pilot tip, radiopaque silicon stopper, and X-ray visible calibration rings.",Manual glide path creation; Canal patency check; Inactive pilot tip; Radiopaque silicon stopper; X-ray calibration rings,"ISO Sizes: #06, #08, #10, #12.5, #15 (individual) | Assorted pack | Lengths: 21mm, 25mm | Pack of 6 files","Medical Class I, EC Declaration of Conformity",https://bondent.eu/dentistry-solutions/stainless-steel-c-files/,https://bondent.eu/wp-content/uploads/2022/02/网站图片-74.jpg
C File,Stainless Steel C Files,25mm,,,Assorted,Pack of 6 files,Preparation Files,Stainless Steel Hand File – Glide Path,UDG,Bondent,"UDG C Files are specially designed to create the manual glide path and check canal patency during rotary and reciprocating endodontic treatment. Inactive pilot tip, radiopaque silicon stopper, and X-ray visible calibration rings.",Manual glide path creation; Canal patency check; Inactive pilot tip; Radiopaque silicon stopper; X-ray calibration rings,"ISO Sizes: #06, #08, #10, #12.5, #15 (individual) | Assorted pack | Lengths: 21mm, 25mm | Pack of 6 files","Medical Class I, EC Declaration of Conformity",https://bondent.eu/dentistry-solutions/stainless-steel-c-files/,https://bondent.eu/wp-content/uploads/2022/02/网站图片-74.jpg
M3 Pro Gold,M3 Pro Gold (V.1 / V.2 / V.3),19mm,17,0.08,,Pack of 6 files,Preparation Files,NiTi Rotary File – Gold CM Alloy,UDG,Bondent,"M3 Pro Gold features Gold CM Alloy with non-cutting tip and sharp cutting edges, delivering excellent cyclic fatigue resistance and flexibility. Available in three versions (V.1 Classic / V.2 2017 / V.3 2018) to match different clinical preferences. V.3 includes an opener 17/12 and glide path files for severely curved canals.","Gold CM Alloy; Non-cutting tip; Sharp cutting edge; Multiple version sequences (V.1, V.2, V.3); Excellent resistance and flexibility","Sizes: #17/8%, #19/2%, #20/4%, #25/4%, #25/6% | Lengths: 19mm, 21mm, 25mm | Pack of 6 files | Assorted packs available","Class IIa, CE, ISO",https://bondent.eu/dentistry-solutions/m3-pro-gold-v-1/,https://bondent.eu/wp-content/uploads/2022/02/网站图片-28.jpg
